Year,Capacity GW
2010,0
2011,0
2012,0
2013,4.0262
2014,2.211
2015,8.2672
2016,23.9338
2017,48.649
2018,38.22
2019,17.96
2020,25.9
2021,34.83
2022,65.71
2023,163.88
