year,NASA,Hadley/UEA,NOAA,Berkeley,Copernicus ERA5
1997,0.73,0.77,0.75,0.77,0.72
1998,0.88,0.92,0.88,0.92,0.91
1999,0.65,0.67,0.67,0.68,0.64
2000,0.67,0.67,0.68,0.68,0.63
2001,0.81,0.83,0.80,0.81,0.79
2002,0.90,0.89,0.87,0.91,0.89
2003,0.89,0.89,0.88,0.89,0.88
2004,0.80,0.81,0.79,0.80,0.82
2005,0.95,0.95,0.95,0.97,0.98
2006,0.91,0.92,0.91,0.92,0.93
2007,0.94,0.94,0.90,0.93,0.92
2008,0.81,0.81,0.80,0.80,0.79
2009,0.92,0.94,0.91,0.94,0.92
2010,0.99,1.02,0.98,1.01,1.02
2011,0.88,0.88,0.87,0.90,0.88
2012,0.92,0.92,0.91,0.92,0.93
2013,0.95,0.97,0.93,0.93,0.95
2014,1.02,1.02,1.01,1.01,0.99
2015,1.17,1.17,1.16,1.15,1.14
2016,1.29,1.28,1.28,1.29,1.33
2017,1.19,1.19,1.19,1.19,1.23
2018,1.12,1.11,1.11,1.12,1.15
2019,1.25,1.23,1.22,1.25,1.29
2020,1.29,1.27,1.26,1.28,1.32
2021,1.12,1.11,1.11,1.12,1.16
2022,1.17,1.14,1.16,1.17,1.19
2023,1.44,1.43,1.43,1.44,1.49
